id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19132851,"Acropolis Executive Suite, Close to Ancient Monuments.",114156592,Bill & John,,ΑΚΡΟΠΟΛΗ,37.96841,23.72869,Private room,50,1,16,2019-12-13,0.51,18,317
19134508,Acropolis Quiet appartment close to everything,133737986,Andreas,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96566,23.72544,Entire home/apt,53,3,42,2019-11-17,1.65,1,356
19135564,Lycabettus Dream,133749263,Ioanna,,ΛΥΚΑΒΗΤΤΟΣ,37.98011,23.74565,Entire home/apt,170,1,1,2017-06-30,0.03,1,0
19139322,Acropolis cozy apartment (Netflix provided),133784914,Alexandros,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9658,23.72451,Entire home/apt,41,1,275,2019-12-31,8.73,1,307
19147439,Art Studio in Exarchia - Centre of Athens,65714690,Home,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98366,23.73368,Entire home/apt,36,2,3,2018-03-03,0.10,26,315
19151590,"Acropolis Boutique Residence, Steps from the Acropolis.",114156592,Bill & John,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96608,23.72699,Private room,80,1,31,2019-12-31,1.00,18,289
19151833,Enjoy Athens in a cozy apartment facing Acropolis,2201903,Albeta,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96493,23.73188,Entire home/apt,50,1,2,2017-10-11,0.07,1,0
19156916,Artistic and modern apartment in Central Athens,133945851,Elias,,ΓΟΥΒΑ,37.95894,23.7405,Entire home/apt,34,2,1,2017-09-20,0.04,1,363
19158845,Vintage spacious apt. with relaxing & sunny yard,6068569,Antonis,,ΠΕΤΡΑΛΩΝΑ,37.96521,23.71245,Entire home/apt,45,2,130,2020-01-07,4.27,3,319
19166025,LYKAVITTOS Apartment in Kolonaki B',100140550,Break,,ΛΥΚΑΒΗΤΤΟΣ,37.97971,23.74093,Entire home/apt,68,1,1,2019-12-20,1,17,365
19168186,Kiron Sanctuary with Views of the Acropolis,10121648,Charis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97523,23.72911,Entire home/apt,75,2,187,2020-01-05,6.14,1,302
19172396,Art house,134077512,Nektarios,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9906,23.73782,Entire home/apt,50,2,1,2017-09-11,0.04,1,325
19175022,Comfortable one-room apartment in Athens' heart,131788621,George,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98635,23.73389,Entire home/apt,28,2,159,2019-12-30,5.09,1,48
19175246,Art-house in the city center!!,134094213,Roberto,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99706,23.72664,Entire home/apt,45,3,7,2019-08-13,0.23,1,365
19177785,Great View +Audiophile Penthouse Exarchia 81sq.m.,124519293,Ioannis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98603,23.73766,Entire home/apt,39,2,122,2019-11-17,4.02,1,123
19178056,central modern cosy apartment,77463618,Maria,,ΣΤΑΔΙΟ,37.96592,23.7447,Entire home/apt,53,1,0,,,1,0
19180160,Anthos apartment,43354862,George,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00065,23.72827,Entire home/apt,55,2,31,2019-09-16,0.99,1,349
19186237,Spacious apartment with 3 bedrooms in City Center,1621474,Mint Team,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99524,23.7304,Entire home/apt,42,2,39,2019-09-29,1.26,80,185
19187909,Fresh and Cool 2 bedroom apartment in Thessio,1621474,Mint Team,,ΘΗΣΕΙΟ,37.97471,23.71484,Entire home/apt,52,2,101,2019-10-12,3.27,80,281
19189523,*NEW place in Athens! B1(Ε.Σ.Λ (Phone number hidden by Airbnb) ver.1),94312648,Dima,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98762,23.72802,Entire home/apt,23,2,55,2019-10-06,1.76,20,352
19190183,Stylish apartment in the heart of Athens,520237,Mandy,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9726,23.73273,Entire home/apt,70,3,46,2019-10-08,1.49,1,317
19192898,Athens Center Metro Omonoia  Apt No3/Room No1,63903716,Mary & Theo,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98867,23.72909,Private room,15,2,44,2019-09-19,1.58,15,227
19202286,Elegant apartment in Plaka with great view.,134347033,Mimika Danaé,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97253,23.73129,Entire home/apt,110,2,87,2019-12-26,2.80,1,306
19202468,Petralona Artist Suite | Metro @t your doorstep!,132689744,Jerassimos,,ΠΕΤΡΑΛΩΝΑ,37.96664,23.70758,Entire home/apt,35,2,18,2019-12-30,0.75,1,274
19204621,Toni's - 2BD Modern Home in Thissio,112527018,Toni,,ΘΗΣΕΙΟ,37.97643,23.71517,Entire home/apt,95,1,183,2020-01-02,5.98,60,121
19205203,Toni's - 2BD Charming Apartment close Thissio Metro!,112527018,Toni,,ΘΗΣΕΙΟ,37.97667,23.71595,Entire home/apt,69,1,140,2019-12-31,4.61,60,123
19205254,The Acharnon Residence,32948108,Michalis,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00089,23.72649,Entire home/apt,65,1,0,,,20,365
19206771,Thimarakia sq.,134389994,Titika,,ΝΙΡΒΑΝΑ,38.00498,23.72523,Private room,25,1,0,,,1,0
19221836,Acropol Suites,126213338,Παναγιωτης,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96776,23.72995,Entire home/apt,39,3,71,2019-10-14,2.31,2,304
19222081,Spacious & modern apartment in the heart of Athens,115554187,Emilie And Fioralda,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98379,23.72497,Entire home/apt,50,1,84,2018-09-30,2.69,1,0
19223342,Comfy apt-huge roof top terrace-unique views,23439759,Marianne,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98959,23.72859,Entire home/apt,150,2,5,2019-11-02,0.32,5,365
19224118,Island house near center of Athens(Πλατεία Μαβιλη),91617038,Fernando - Eleni,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98521,23.75838,Entire home/apt,38,2,3,2018-05-23,0.11,1,225
19226194,Best Location ever!!!,120035471,Dimitris,,ΚΟΛΩΝΑΚΙ,37.98026,23.73722,Entire home/apt,32,1,79,2019-11-09,2.58,3,359
19232704,**Value for money! B2 (Ε.Σ.Λ (Phone number hidden by Airbnb) ver.1),94312648,Dima,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98693,23.72772,Entire home/apt,22,2,23,2019-05-31,0.74,20,343
19237710,Toni's - Homey Studio 1 min from Syntagma Metro,129204185,Lilly,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97721,23.7326,Entire home/apt,59,1,156,2019-12-29,5.01,6,131
19237952,"Family-Enjoy Athens, Parthenon view, apt 90m2",134687748,Σταύρος (Stavros),,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.99389,23.713,Entire home/apt,17,1,58,2019-12-02,2.38,1,334
19243697,Ideal location for Athens sites and landmarks,30882711,Theo & Alicia,,ΓΚΑΖΙ,37.97541,23.70914,Entire home/apt,62,2,27,2019-12-16,1.40,2,345
19247151,Best Location Luxurious Apartment near Acropolis,128755576,Evi,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97789,23.72636,Entire home/apt,63,1,116,2019-11-25,4.14,1,327
19248137,"Cozy new studio,with discount seakayak,bikes,trips",21435082,Stefanos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96616,23.72443,Entire home/apt,30,3,92,2020-01-02,2.99,1,217
19253137,apartmment 60m² close to Hilton hotel,96469588,Philip,,ΠΑΓΚΡΑΤΙ,37.97235,23.74898,Entire home/apt,40,2,82,2020-01-07,2.85,1,99
19259676,K2 Apartment (city urban center),82781946,Kostas,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98501,23.73719,Entire home/apt,40,2,10,2018-10-01,0.34,1,284
19260248,Luxury loft with view,93588494,Ζωή,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98176,23.71988,Entire home/apt,80,2,29,2019-09-01,0.94,1,19
19260655,Tripodon Plaka | In the shade of Acropolis,47038350,Konstantinos,,ΑΚΡΟΠΟΛΗ,37.97223,23.72965,Entire home/apt,195,2,35,2019-11-13,1.11,34,336
19265912,Athens central apartment,95868117,Antigoni,,ΠΕΔΙΟ ΑΡΕΩΣ,37.9912,23.74057,Private room,12,1,15,2018-08-31,0.50,1,0
19266229,Alex place,134716916,Alexandros,,ΠΟΛΥΓΩΝΟ,37.99732,23.7479,Private room,25,1,0,,,1,0
19267292,Duplex with sauna for a lazy stay in Athens,134910855,Mhk,,ΠΑΓΚΡΑΤΙ,37.96974,23.74853,Entire home/apt,60,4,0,,,1,0
19271698,Happy stay in Lovely big house 15' from center,134951145,Elvin,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00529,23.72898,Entire home/apt,67,2,1,2017-06-24,0.03,1,270
19278888,"Acropolis apt, beautiful, renovated and cozy",135011176,Kalliope-Margarita,,ΑΚΡΟΠΟΛΗ,37.96507,23.7205,Entire home/apt,42,2,158,2019-12-30,5.06,1,113
19279007,"Acropolis apartment,1 min from Metro and Museum",135011393,Vicky,,ΖΑΠΠΕΙΟ,37.96781,23.73202,Entire home/apt,85,1,142,2019-11-11,4.64,1,343
19279473,Athens Center Luxury Studio,30693516,Panos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98585,23.73869,Entire home/apt,25,1,66,2019-09-30,2.14,2,104
19283940,Historical House near Acropolis,135046109,George,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96361,23.72907,Entire home/apt,39,3,29,2018-10-07,0.93,1,90
19290112,"Modern & Smart apartment, Athens.",135076982,Manolis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98872,23.73773,Entire home/apt,26,2,66,2019-11-29,2.19,1,56
19292184,Queen Victoria apartment,36279897,Χρυσουλα,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99164,23.72613,Entire home/apt,35,2,18,2019-09-23,0.58,1,287
19292810,"THE CACTI HOUSE, 75 m2, by the National Gardens",44817573,Alexandra,,ΡΗΓΙΛΛΗΣ,37.9738,23.74189,Entire home/apt,60,2,26,2020-01-04,0.95,1,347
19294382,Central apartment in the most picturesque street,135111655,Emilia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97698,23.72474,Entire home/apt,40,2,71,2019-12-26,2.28,1,69
19294811,Parliament Αpartment @Syntagma Square-Living-Space,29905613,Sofia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9785,23.73751,Entire home/apt,40,1,206,2020-01-06,6.55,9,333
19303458,Central Athens Stylish apartment near Metro,135184858,Penny,,ΓΚΥΖΗ,37.99141,23.74825,Entire home/apt,29,1,3,2017-08-30,0.10,1,12
19305197,"Spacious Elegant 1BR, Beautiful Central Quarter!",39330428,Top Stays,,ΚΥΨΕΛΗ,38.00086,23.73636,Entire home/apt,18,3,6,2018-12-27,0.20,4,0
19310833,Cozy flat near Acropolis,124108371,Anna,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95703,23.72531,Entire home/apt,23,2,25,2019-10-13,0.82,1,24
19312600,Yannis home,74171821,Roxanne,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99086,23.76289,Entire home/apt,30,2,124,2020-01-11,3.98,1,351
19313796,Cozy apartment - Acropolis / Koukaki,135247839,Panayota,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96607,23.72449,Entire home/apt,45,4,99,2019-10-21,3.19,1,55
19320771,Cozy artistic nest,13664712,Tomas,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98343,23.71931,Entire home/apt,38,3,16,2019-11-14,0.51,1,347
19322834,Cozy  apartment Athens center  Ampelokipi Panormou,40209245,Tonia,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99071,23.75709,Entire home/apt,35,1,92,2019-12-22,2.96,4,176
19324914,Comfy and Hospitable Apartment,11107282,Spyros,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96586,23.72707,Entire home/apt,55,2,56,2018-10-14,1.79,1,364
19326234,Central apartment next to metro station!,885156,E,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.00088,23.72366,Entire home/apt,40,5,0,,,2,0
19326688,"Lefis apartment,Luxury flat in Hilton Area",49043070,Ifigeneia,,ΙΛΙΣΙΑ,37.97787,23.75247,Entire home/apt,49,3,2,2017-10-18,0.07,1,358
19327348,Stylish&sunny penthouse with extra large tarrace!,135356567,Chrysanthi & Marios,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98418,23.7342,Entire home/apt,39,3,99,2019-12-18,3.33,1,101
19336947,Athens Soul Aiolou,4935030,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98126,23.72884,Entire home/apt,40,2,64,2019-11-24,2.08,3,345
19338863,Athenian House in Plaka,135482103,Anna,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97383,23.72827,Entire home/apt,217,1,58,2020-01-06,1.86,8,225
19340056,IN THE HEART OF HISTORIC  CENTER MODERN APARTMENT,44132574,Jordanis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98895,23.72402,Entire home/apt,20,2,70,2019-07-08,2.27,1,88
19341586,Hermes-Superior Standard Double Room-HHH in Athens,75139781,Chris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97807,23.72863,Entire home/apt,75,2,0,,,9,286
19343123,City Oasis,135522836,Georgia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98795,23.74995,Entire home/apt,35,3,1,2017-07-10,0.03,1,0
19346106,Creta Nostos Luxury Apartment.,135549893,Νίκος & Μαρία,,ΝΙΡΒΑΝΑ,38.00529,23.72404,Entire home/apt,76,1,8,2018-08-28,0.27,1,246
19352717,"Lemon Tree Studio Apartment, Mets",133681771,Dimitris,,ΖΑΠΠΕΙΟ,37.96806,23.73731,Entire home/apt,40,2,184,2020-01-03,5.91,1,322
19354720,Spacious apartment 10min from the Acropolis Museum,66216765,Chryssa,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96389,23.72817,Entire home/apt,54,20,4,2018-04-29,0.14,1,365
19359211,Best Price by Acropolis,134990753,Theofilos,,ΣΤΑΔΙΟ,37.96609,23.7346,Entire home/apt,41,1,307,2019-12-29,9.89,3,121
19359798,5th floor cozy apartment (recently refurbished),124267906,Nikonas,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95887,23.73644,Entire home/apt,38,3,149,2019-10-28,4.79,1,178
19361099,"Athens Center ""4 persons"" Apartment",135693261,Μαριάννα,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98451,23.7189,Entire home/apt,49,3,56,2019-09-29,1.85,1,180
19361742,"Arty flat (new, spacious, central, cosy)",51602593,Zoe,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98999,23.73221,Entire home/apt,32,1,29,2019-09-22,0.94,1,224
19362618,Classic athenian home 50m Acropolis metro / museum,135709476,Aikaterini,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96908,23.73074,Entire home/apt,55,2,77,2019-12-09,2.53,1,1
19372804,Athenian Stone-built Heaven (in the City Center),132073540,,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98928,23.73242,Entire home/apt,45,1,303,2020-01-12,9.91,1,196
19373533,Acropolis Royal Penthouse,135063267,Elpis,,ΘΗΣΕΙΟ,37.97471,23.71885,Entire home/apt,200,1,11,2018-08-15,0.36,1,365
19374457,ACROPOLIS HOUSE,135809167,Konstantinos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96736,23.72957,Entire home/apt,200,3,0,,,1,0
19375995,Beautiful apartment under Acropolis,135816744,Eleni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96762,23.72548,Entire home/apt,39,1,308,2019-12-26,10.01,1,234
19378552,Palladian Home - Standard Double Room,132577747,Nick,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97091,23.73169,Private room,150,1,0,,,1,365
19379903,⭐️   Retr❍asis | 3' to Central Station,84044525,Theodore,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99683,23.72416,Entire home/apt,40,2,22,2019-12-03,3.16,1,345
19381453,"zENhOUSE - Beautiful, healing penthouse!",43455753,Dimitris,,ΓΟΥΔΙ,37.98788,23.76813,Entire home/apt,33,2,54,2019-10-10,1.77,1,178
19385911,"Beautiful apt, 10 min from Acropolis",135895133,Eric - Helen,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96351,23.72202,Entire home/apt,39,1,109,2020-01-05,3.49,1,355
19397225,Penthouse in Athens,24322269,Vasilis,,ΚΥΨΕΛΗ,37.99933,23.73752,Shared room,70,1,0,,,1,364
19397631,Old Jewellery Shop,90434605,Dimitris & Niki,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97794,23.73209,Entire home/apt,50,1,23,2019-09-23,0.75,1,365
19402316,Cozy Apartment  in the Center of Athens,136012334,Βασιλης,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99422,23.75511,Entire home/apt,29,3,34,2019-08-19,1.12,1,364
19404098,Acropolis at your fingertips-FREE NETFLIX,74978681,Konstantinos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96331,23.72273,Entire home/apt,50,2,57,2019-10-17,1.85,1,247
19407883,Historical City Center - Sweet Home,136060709,Katia - Athina - Elena,,ΖΑΠΠΕΙΟ,37.96751,23.73195,Entire home/apt,54,2,31,2019-10-24,1.00,2,222
19410783,The CucuWow,136082318,Manos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96195,23.73156,Entire home/apt,58,2,26,2019-10-03,0.84,1,361
